molregno,canonical_smiles,hba,hbd,psa,rtb,full_mwt,heavy_atoms,aromatic_rings,pref_name,confidence_score,bao_endpoint,standard_value,standard_units,pchembl_value,assay_id
124056,C[C@H](N)CN1CCc2ccc(Cl)cc21,2,1,29.26,2,210.71,14,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,364.0,nM,6.44,2292
124058,CSc1ccc2c(c1)N(C[C@H](C)N)CC2,3,1,29.26,3,222.36,15,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,171.0,nM,6.77,2292
124125,CCSc1ccc2c(c1)N(C[C@H](C)N)CC2,3,1,29.26,4,236.38,16,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,184.0,nM,6.74,2292
123310,C[C@H](N)CN1CCc2cc(F)c(C(F)(F)F)cc21,2,1,29.26,2,262.25,18,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,432.0,nM,6.37,2292
123311,CCSc1cc2c(cc1F)CCN2C[C@H](C)N,3,1,29.26,4,254.37,17,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,58.0,nM,7.24,2292
124126,C[C@H](N)CN1CCc2ccc(Br)cc21,2,1,29.26,2,255.16,14,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,351.0,nM,6.46,2292
124184,C[C@H](N)CN1CCc2cc(F)c(I)cc21,2,1,29.26,2,320.15,15,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,139.0,nM,6.86,2292
123335,C[C@H](N)Cn1ccc2cc(F)c(Cl)cc21,2,1,30.95,2,226.68,15,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,38.0,nM,7.42,2292
2214,NCCc1c[nH]c2ccc(O)cc12,2,3,62.04,2,176.22,13,2,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,14.0,nM,7.85,2292
124099,C[C@H](N)CN1CCc2cc(F)c(Cl)cc21,2,1,29.26,2,228.70,15,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,167.0,nM,6.78,2292
124158,CSc1cc2c(cc1F)CCN2C[C@H](C)N,3,1,29.26,3,240.35,16,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,53.0,nM,7.28,2292
123351,C[C@H](N)CN1CCc2ccc3c(c21)CCO3,3,1,38.49,2,218.30,16,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,112.0,nM,6.95,2292
123314,C[C@H](N)CN1CCc2ccc3c(c21)CCCO3,3,1,38.49,2,232.33,17,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,395.0,nM,6.40,2292
5884,Clc1cccc(N2CCNCC2)c1,2,1,15.27,1,196.68,13,1,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,54.0,nM,7.27,2292
40962,Fc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,3,1,35.16,3,310.38,23,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,232.2,nM,6.63,2294
40143,COc1ccccc1N1CCN(Cc2c[nH]c3ncccc23)CC1,4,1,44.39,4,322.41,24,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2311.6,nM,5.64,2294
40141,CCCc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,3,1,35.16,5,334.47,25,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,10000.0,nM,NULL,2294
40060,Fc1ccccc1N1CCN(Cc2c[nH]c3ncccc23)CC1,3,1,35.16,3,310.38,23,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,242.0,nM,6.62,2294
40961,COc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,4,1,44.39,4,322.41,24,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,10000.0,nM,NULL,2294
40144,C=Cc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,3,1,35.16,4,318.42,24,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,509.0,nM,6.29,2294
40178,CSc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,4,1,35.16,4,338.48,24,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,10000.0,nM,NULL,2294
40138,c1ccc(-c2ccc(N3CCN(Cc4c[nH]c5ncccc45)CC3)cc2)cc1,3,1,35.16,4,368.48,28,4,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,1932.0,nM,5.71,2294
40145,FC(F)(F)c1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,3,1,35.16,3,360.38,26,3,Serotonin 2a (5-HT2a) receptor,9,BAO_0000192,2791.0,nM,5.55,2294
